Type of Transaction,Sender ID,Receiver ID,Amount of Money Transferred,Date,Is Fraud,Type of Fraud
cash-in,30105,28942,494528,7/19/2019 14:40,1,type1
cash-in,30105,8692,494528,5/17/2019 14:57,1,type1
cash-in,30105,60094,494528,7/20/2019 13:20,1,type1
cash-in,30105,20575,494528,7/3/2019 14:15,1,type1
cash-in,30105,45938,494528,5/26/2019 10:40,1,type1
cash-in,30105,54971,494528,4/6/2019 11:18,1,type1
cash-in,30105,62257,494528,4/23/2019 8:20,1,type1
cash-in,30105,1020,494528,7/4/2019 8:59,1,type1
cash-in,30105,98751,494528,5/6/2019 12:49,1,type1
cash-in,30105,82016,494528,6/9/2019 12:27,1,type1
cash-in,30105,13800,494528,4/17/2019 8:18,1,type1
cash-in,30105,52681,494529,7/18/2019 13:57,1,type1
cash-in,30105,80113,494529,3/27/2019 13:13,1,type1
cash-in,30105,64316,494529,6/9/2019 11:43,1,type1
cash-in,30105,94472,494529,2/21/2019 12:34,1,type1
cash-in,30105,23762,494529,4/7/2019 12:43,1,type1
cash-in,30105,12860,494529,4/28/2019 15:08,1,type1
cash-in,30105,61008,494529,4/19/2019 15:02,1,type1
cash-in,30105,3164,494529,5/19/2019 9:26,1,type1
cash-in,30105,24259,494529,4/20/2019 11:48,1,type1
cash-in,80740,29758,388294,5/3/2019 11:40,1,type1
cash-in,80740,47869,388294,6/14/2019 8:10,1,type1
cash-in,80740,79227,388294,3/5/2019 13:22,1,type1
cash-in,80740,68225,388294,3/3/2019 9:24,1,type1
cash-in,80740,65031,388294,3/10/2019 12:45,1,type1
cash-in,80740,90735,388294,7/17/2019 15:53,1,type1
cash-in,80740,84696,388294,3/4/2019 8:11,1,type1
cash-in,80740,67988,388294,5/25/2019 14:38,1,type1
cash-in,80740,33384,388294,5/22/2019 12:52,1,type1
cash-in,80740,57761,388294,5/6/2019 15:18,1,type1
cash-in,80740,90295,388294,6/26/2019 13:33,1,type1
cash-in,80740,28815,388294,4/27/2019 10:52,1,type1
cash-in,80740,39965,388295,6/12/2019 12:18,1,type1
cash-in,80740,48861,388295,3/15/2019 10:44,1,type1
cash-in,80740,96543,388295,7/17/2019 11:31,1,type1
cash-in,80740,83049,388295,3/5/2019 8:02,1,type1
cash-in,80740,36644,388295,5/30/2019 11:56,1,type1
cash-in,80740,12726,388295,4/5/2019 9:00,1,type1
cash-in,80740,38032,388295,6/6/2019 10:43,1,type1
cash-in,80740,19808,388295,6/8/2019 14:14,1,type1
cash-in,92735,16792,306536,6/20/2019 10:05,1,type1
cash-in,92735,98862,306536,3/21/2019 9:18,1,type1
cash-in,92735,64222,306536,3/30/2019 15:16,1,type1
cash-in,92735,45890,306536,5/9/2019 12:22,1,type1
cash-in,92735,76199,306536,5/6/2019 14:13,1,type1
cash-in,92735,94635,306536,3/20/2019 12:07,1,type1
cash-in,92735,11443,306536,5/12/2019 13:30,1,type1
cash-in,92735,82726,306536,3/30/2019 12:56,1,type1
cash-in,92735,78865,306536,7/5/2019 11:54,1,type1
cash-in,92735,93295,306536,4/8/2019 8:15,1,type1
cash-in,92735,23512,306536,3/15/2019 15:38,1,type1
cash-in,92735,62065,306536,4/15/2019 12:53,1,type1
cash-in,92735,63711,306536,2/25/2019 11:51,1,type1
cash-in,92735,34121,306536,6/25/2019 15:13,1,type1
cash-in,92735,53801,306536,6/20/2019 12:38,1,type1
cash-in,92735,41429,306536,3/3/2019 12:11,1,type1
cash-in,92735,12806,306537,5/12/2019 8:09,1,type1
cash-in,92735,58732,306537,7/14/2019 9:57,1,type1
cash-in,92735,9507,306537,3/23/2019 8:57,1,type1
cash-in,92735,61512,306537,4/10/2019 9:21,1,type1
cash-in,92735,87991,306537,4/24/2019 12:08,1,type1
cash-in,92735,83840,306537,7/10/2019 12:19,1,type1
cash-in,92735,30584,306537,3/4/2019 13:14,1,type1
cash-in,92735,17423,306537,2/25/2019 9:06,1,type1
cash-in,92735,44570,306537,7/1/2019 15:24,1,type1
cash-in,1615,72623,639229,7/18/2019 10:54,1,type1
cash-in,1615,6322,639229,4/25/2019 11:17,1,type1
cash-in,1615,19592,639229,3/9/2019 13:25,1,type1
cash-in,1615,21254,639230,4/23/2019 13:29,1,type1
cash-in,1615,54400,639230,5/30/2019 12:44,1,type1
cash-in,1615,8552,639230,3/5/2019 15:25,1,type1
cash-in,1615,80966,639230,5/20/2019 12:29,1,type1
cash-in,1615,46860,639230,5/14/2019 14:17,1,type1
cash-in,1615,7203,639230,3/29/2019 13:15,1,type1
cash-in,1615,11667,639230,5/13/2019 10:34,1,type1
cash-in,1615,6054,639230,5/26/2019 15:33,1,type1
cash-in,1615,37081,639230,3/18/2019 12:46,1,type1
cash-in,1615,33284,639230,4/16/2019 14:32,1,type1
cash-in,1615,3335,639230,7/4/2019 15:30,1,type1
cash-in,4161,7806,249081,6/15/2019 12:36,1,type1
cash-in,4161,93672,249081,3/14/2019 12:30,1,type1
cash-in,4161,75260,249081,3/28/2019 9:03,1,type1
cash-in,4161,52002,249081,3/21/2019 11:11,1,type1
cash-in,4161,50023,249081,6/4/2019 8:29,1,type1
cash-in,4161,7038,249081,6/16/2019 10:10,1,type1
cash-in,4161,32828,249081,5/23/2019 12:40,1,type1
cash-in,4161,99617,249081,5/15/2019 8:27,1,type1
cash-in,4161,34858,249081,6/19/2019 9:13,1,type1
cash-in,4161,28744,249081,2/21/2019 12:14,1,type1
cash-in,4161,43619,249081,5/3/2019 13:21,1,type1
cash-in,4161,96342,249082,3/6/2019 13:59,1,type1
cash-in,4161,27404,249082,5/31/2019 14:39,1,type1
cash-in,4161,1599,249082,6/15/2019 11:02,1,type1
cash-in,4161,98501,249082,4/26/2019 14:40,1,type1
cash-in,4161,94376,249082,3/3/2019 8:06,1,type1
cash-in,4161,44546,249082,6/18/2019 12:25,1,type1
cash-in,4161,6724,249082,6/22/2019 13:58,1,type1
cash-in,4161,10834,249082,6/14/2019 13:33,1,type1
cash-in,4161,88949,249082,3/5/2019 15:22,1,type1
cash-in,4161,54547,249082,5/21/2019 13:15,1,type1
cash-in,4161,76270,249082,3/10/2019 8:46,1,type1
cash-in,4161,64321,249082,4/26/2019 11:19,1,type1
cash-in,4161,73770,249082,6/16/2019 14:15,1,type1
cash-in,4161,39477,249082,3/26/2019 10:08,1,type1
cash-in,4161,29501,249082,6/11/2019 9:09,1,type1
cash-in,4161,2174,249082,5/3/2019 13:25,1,type1
cash-in,4161,83480,249082,5/25/2019 12:15,1,type1
cash-in,4161,49193,249082,2/23/2019 13:23,1,type1
cash-in,33203,7242,882647,3/14/2019 10:24,1,type1
cash-in,33203,784,882647,5/26/2019 11:10,1,type1
cash-in,33203,65196,882647,7/6/2019 9:36,1,type1
cash-in,33203,80364,882647,2/26/2019 15:14,1,type1
cash-in,33203,8056,882647,7/2/2019 12:53,1,type1
cash-in,33203,69621,882647,5/7/2019 13:58,1,type1
cash-in,33203,97479,882648,6/4/2019 15:08,1,type1
cash-in,33203,34537,882648,6/11/2019 14:44,1,type1
cash-in,33203,15088,882648,7/17/2019 11:31,1,type1
cash-in,41969,65969,1835026,3/26/2019 12:37,1,type1
cash-in,41969,13881,1835026,2/26/2019 14:29,1,type1
cash-in,41969,76026,1835027,7/5/2019 9:53,1,type1
cash-in,41969,92875,1835027,4/26/2019 14:31,1,type1
cash-in,41969,69841,1835027,7/9/2019 14:27,1,type1
cash-in,37177,21392,362164,3/9/2019 12:03,1,type1
cash-in,37177,90607,362164,5/19/2019 8:37,1,type1
cash-in,37177,88400,362164,6/14/2019 10:31,1,type1
cash-in,37177,70964,362164,7/16/2019 13:13,1,type1
cash-in,37177,63029,362164,4/15/2019 12:00,1,type1
cash-in,37177,80337,362164,3/15/2019 13:43,1,type1
cash-in,37177,14656,362164,5/26/2019 13:50,1,type1
cash-in,37177,89730,362164,7/11/2019 9:22,1,type1
cash-in,37177,93055,362164,4/20/2019 13:19,1,type1
cash-in,37177,68699,362164,3/15/2019 12:50,1,type1
cash-in,37177,68229,362164,4/12/2019 14:04,1,type1
cash-in,37177,13407,362164,5/6/2019 10:43,1,type1
cash-in,37177,887,362164,6/22/2019 15:41,1,type1
cash-in,37177,48011,362164,5/21/2019 10:25,1,type1
cash-in,37177,3092,362164,4/11/2019 13:18,1,type1
cash-in,37177,57772,362164,3/3/2019 12:57,1,type1
cash-in,37177,31269,362164,7/5/2019 11:30,1,type1
cash-in,37177,69355,362164,6/13/2019 12:34,1,type1
cash-in,37177,9363,362164,3/2/2019 10:13,1,type1
cash-in,37177,30714,362164,7/6/2019 10:29,1,type1
cash-in,37177,39631,362164,2/23/2019 9:54,1,type1
cash-in,37177,33994,362164,7/10/2019 15:04,1,type1
cash-in,37177,96016,362164,3/17/2019 11:53,1,type1
cash-in,37177,67648,362164,3/30/2019 13:38,1,type1
cash-in,31439,89434,554345,6/11/2019 11:22,1,type1
cash-in,31439,90146,554345,4/28/2019 8:03,1,type1
cash-in,31439,8611,554345,4/3/2019 9:39,1,type1
cash-in,31439,3183,554345,5/22/2019 8:33,1,type1
cash-in,31439,18533,554345,7/3/2019 13:00,1,type1
cash-in,31439,6470,554345,4/30/2019 13:51,1,type1
cash-in,31439,27405,554345,7/1/2019 14:49,1,type1
cash-in,31439,97140,554345,5/2/2019 10:37,1,type1
cash-in,31439,58911,554346,5/7/2019 15:56,1,type1
cash-in,31439,20213,554346,5/24/2019 13:06,1,type1
cash-in,31439,17450,554346,4/14/2019 13:51,1,type1
cash-in,31439,63072,554346,2/28/2019 15:48,1,type1
cash-in,31439,84089,554346,4/19/2019 12:58,1,type1
cash-in,31439,42081,554346,2/27/2019 13:07,1,type1
cash-in,84352,79147,640046,6/13/2019 9:54,1,type1
cash-in,84352,80053,640046,2/21/2019 8:30,1,type1
cash-in,84352,61309,640047,4/19/2019 10:45,1,type1
cash-in,84352,54502,640047,6/5/2019 10:09,1,type1
cash-in,84352,94793,640047,6/19/2019 9:11,1,type1
cash-in,84352,24728,640047,3/13/2019 9:45,1,type1
cash-in,84352,36919,640047,6/28/2019 9:20,1,type1
cash-in,84352,46738,640047,6/14/2019 9:13,1,type1
cash-in,84352,62404,640047,4/8/2019 15:36,1,type1
cash-in,84352,49860,640047,7/15/2019 15:00,1,type1
cash-in,84352,9117,640047,6/6/2019 8:18,1,type1
cash-in,95615,43405,708894,4/29/2019 8:54,1,type1
cash-in,95615,97885,708894,3/6/2019 10:57,1,type1
cash-in,95615,15768,708894,5/29/2019 14:24,1,type1
cash-in,95615,13218,708894,3/10/2019 12:09,1,type1
cash-in,95615,93239,708894,5/30/2019 13:15,1,type1
cash-in,95615,20217,708895,3/16/2019 15:01,1,type1
cash-in,95615,13591,708895,6/28/2019 14:12,1,type1
cash-in,95615,65665,708895,2/21/2019 13:04,1,type1
cash-in,95615,27376,708895,3/23/2019 13:58,1,type1
cash-in,95615,1638,708895,4/26/2019 11:53,1,type1
cash-in,95615,35853,708895,6/10/2019 13:31,1,type1
cash-in,95615,70742,708895,3/19/2019 11:54,1,type1
cash-in,41220,39061,1769355,6/24/2019 14:07,1,type1
cash-in,41220,48727,1769355,4/22/2019 13:08,1,type1
cash-in,41220,21809,1769355,4/3/2019 14:12,1,type1
cash-in,41220,26639,1769356,6/3/2019 10:35,1,type1
cash-in,39284,62427,274171,6/8/2019 8:35,1,type1
cash-in,39284,87467,274171,3/22/2019 12:24,1,type1
cash-in,39284,53948,274171,5/20/2019 10:31,1,type1
cash-in,39284,5032,274171,6/10/2019 8:50,1,type1
cash-in,39284,68774,274171,6/11/2019 9:39,1,type1
cash-in,39284,40321,274171,3/25/2019 11:15,1,type1
cash-in,39284,95596,274171,6/17/2019 8:56,1,type1
cash-in,39284,2955,274171,6/24/2019 12:30,1,type1
cash-in,39284,91794,274171,7/9/2019 8:05,1,type1
cash-in,39284,45479,274171,6/25/2019 9:17,1,type1
cash-in,39284,63272,274171,3/9/2019 15:45,1,type1
cash-in,39284,67144,274171,7/4/2019 9:31,1,type1
cash-in,39284,7228,274171,5/6/2019 12:59,1,type1
cash-in,39284,47704,274171,6/23/2019 15:43,1,type1
cash-in,39284,74691,274171,6/18/2019 10:32,1,type1
cash-in,39284,4429,274171,7/3/2019 14:11,1,type1
cash-in,39284,13670,274171,7/1/2019 11:54,1,type1
cash-in,39284,85867,274171,7/12/2019 14:38,1,type1
cash-in,39284,18192,274171,6/7/2019 11:16,1,type1
cash-in,39284,28414,274171,7/19/2019 10:59,1,type1
cash-in,39284,55092,274171,3/22/2019 11:36,1,type1
cash-in,39284,4394,274171,3/30/2019 8:16,1,type1
cash-in,39284,74901,274171,6/23/2019 11:35,1,type1
cash-in,39284,2683,274171,6/28/2019 12:27,1,type1
cash-in,39284,87826,274171,2/21/2019 11:08,1,type1
