Type of Transaction,Sender ID,Receiver ID,Amount of Money Transferred,Date,Is Fraud,Type of Fraud,Day of the Week
cash-in,30105,94472,4945.29,2/21/2019 12:34,1,type1,Thursday
cash-in,30105,80113,4945.29,3/27/2019 13:13,1,type1,Wednesday
cash-in,30105,54971,4945.28,4/6/2019 11:18,1,type1,Saturday
cash-in,30105,23762,4945.29,4/7/2019 12:43,1,type1,Sunday
cash-in,30105,13800,4945.28,4/17/2019 8:18,1,type1,Wednesday
cash-in,30105,61008,4945.29,4/19/2019 15:02,1,type1,Friday
cash-in,30105,24259,4945.29,4/20/2019 11:48,1,type1,Saturday
cash-in,30105,62257,4945.28,4/23/2019 8:20,1,type1,Tuesday
cash-in,30105,12860,4945.29,4/28/2019 15:08,1,type1,Sunday
cash-in,30105,98751,4945.28,5/6/2019 12:49,1,type1,Monday
cash-in,30105,8692,4945.28,5/17/2019 14:57,1,type1,Friday
cash-in,30105,3164,4945.29,5/19/2019 9:26,1,type1,Sunday
cash-in,30105,45938,4945.28,5/26/2019 10:40,1,type1,Sunday
cash-in,30105,64316,4945.29,6/9/2019 11:43,1,type1,Sunday
cash-in,30105,82016,4945.28,6/9/2019 12:27,1,type1,Sunday
cash-in,30105,20575,4945.28,7/3/2019 14:15,1,type1,Wednesday
cash-in,30105,1020,4945.28,7/4/2019 8:59,1,type1,Thursday
cash-in,30105,52681,4945.29,7/18/2019 13:57,1,type1,Thursday
cash-in,30105,28942,4945.28,7/19/2019 14:40,1,type1,Friday
cash-in,30105,60094,4945.28,7/20/2019 13:20,1,type1,Saturday
cash-in,80740,29758,3882.94,5/3/2019 11:40,1,type1,Friday
cash-in,80740,47869,3882.94,6/14/2019 8:10,1,type1,Friday
cash-in,80740,79227,3882.94,3/5/2019 13:22,1,type1,Tuesday
cash-in,80740,68225,3882.94,3/3/2019 9:24,1,type1,Sunday
cash-in,80740,65031,3882.94,3/10/2019 12:45,1,type1,Sunday
cash-in,80740,90735,3882.94,7/17/2019 15:53,1,type1,Wednesday
cash-in,80740,84696,3882.94,3/4/2019 8:11,1,type1,Monday
cash-in,80740,67988,3882.94,5/25/2019 14:38,1,type1,Saturday
cash-in,80740,33384,3882.94,5/22/2019 12:52,1,type1,Wednesday
cash-in,80740,57761,3882.94,5/6/2019 15:18,1,type1,Monday
cash-in,80740,90295,3882.94,6/26/2019 13:33,1,type1,Wednesday
cash-in,80740,28815,3882.94,4/27/2019 10:52,1,type1,Saturday
cash-in,80740,39965,3882.95,6/12/2019 12:18,1,type1,Wednesday
cash-in,80740,48861,3882.95,3/15/2019 10:44,1,type1,Friday
cash-in,80740,96543,3882.95,7/17/2019 11:31,1,type1,Wednesday
cash-in,80740,83049,3882.95,3/5/2019 8:02,1,type1,Tuesday
cash-in,80740,36644,3882.95,5/30/2019 11:56,1,type1,Thursday
cash-in,80740,12726,3882.95,4/5/2019 9:00,1,type1,Friday
cash-in,80740,38032,3882.95,6/6/2019 10:43,1,type1,Thursday
cash-in,80740,19808,3882.95,6/8/2019 14:14,1,type1,Saturday
cash-in,92735,16792,3065.36,6/20/2019 10:05,1,type1,Thursday
cash-in,92735,98862,3065.36,3/21/2019 9:18,1,type1,Thursday
cash-in,92735,64222,3065.36,3/30/2019 15:16,1,type1,Saturday
cash-in,92735,45890,3065.36,5/9/2019 12:22,1,type1,Thursday
cash-in,92735,76199,3065.36,5/6/2019 14:13,1,type1,Monday
cash-in,92735,94635,3065.36,3/20/2019 12:07,1,type1,Wednesday
cash-in,92735,11443,3065.36,5/12/2019 13:30,1,type1,Sunday
cash-in,92735,82726,3065.36,3/30/2019 12:56,1,type1,Saturday
cash-in,92735,78865,3065.36,7/5/2019 11:54,1,type1,Friday
cash-in,92735,93295,3065.36,4/8/2019 8:15,1,type1,Monday
cash-in,92735,23512,3065.36,3/15/2019 15:38,1,type1,Friday
cash-in,92735,62065,3065.36,4/15/2019 12:53,1,type1,Monday
cash-in,92735,63711,3065.36,2/25/2019 11:51,1,type1,Monday
cash-in,92735,34121,3065.36,6/25/2019 15:13,1,type1,Tuesday
cash-in,92735,53801,3065.36,6/20/2019 12:38,1,type1,Thursday
cash-in,92735,41429,3065.36,3/3/2019 12:11,1,type1,Sunday
cash-in,92735,12806,3065.37,5/12/2019 8:09,1,type1,Sunday
cash-in,92735,58732,3065.37,7/14/2019 9:57,1,type1,Sunday
cash-in,92735,9507,3065.37,3/23/2019 8:57,1,type1,Saturday
cash-in,92735,61512,3065.37,4/10/2019 9:21,1,type1,Wednesday
cash-in,92735,87991,3065.37,4/24/2019 12:08,1,type1,Wednesday
cash-in,92735,83840,3065.37,7/10/2019 12:19,1,type1,Wednesday
cash-in,92735,30584,3065.37,3/4/2019 13:14,1,type1,Monday
cash-in,92735,17423,3065.37,2/25/2019 9:06,1,type1,Monday
cash-in,92735,44570,3065.37,7/1/2019 15:24,1,type1,Monday
cash-in,1615,72623,6392.29,7/18/2019 10:54,1,type1,Thursday
cash-in,1615,6322,6392.29,4/25/2019 11:17,1,type1,Thursday
cash-in,1615,19592,6392.29,3/9/2019 13:25,1,type1,Saturday
cash-in,1615,21254,6392.3,4/23/2019 13:29,1,type1,Tuesday
cash-in,1615,54400,6392.3,5/30/2019 12:44,1,type1,Thursday
cash-in,1615,8552,6392.3,3/5/2019 15:25,1,type1,Tuesday
cash-in,1615,80966,6392.3,5/20/2019 12:29,1,type1,Monday
cash-in,1615,46860,6392.3,5/14/2019 14:17,1,type1,Tuesday
cash-in,1615,7203,6392.3,3/29/2019 13:15,1,type1,Friday
cash-in,1615,11667,6392.3,5/13/2019 10:34,1,type1,Monday
cash-in,1615,6054,6392.3,5/26/2019 15:33,1,type1,Sunday
cash-in,1615,37081,6392.3,3/18/2019 12:46,1,type1,Monday
cash-in,1615,33284,6392.3,4/16/2019 14:32,1,type1,Tuesday
cash-in,1615,3335,6392.3,7/4/2019 15:30,1,type1,Thursday
cash-in,4161,7806,2490.81,6/15/2019 12:36,1,type1,Saturday
cash-in,4161,93672,2490.81,3/14/2019 12:30,1,type1,Thursday
cash-in,4161,75260,2490.81,3/28/2019 9:03,1,type1,Thursday
cash-in,4161,52002,2490.81,3/21/2019 11:11,1,type1,Thursday
cash-in,4161,50023,2490.81,6/4/2019 8:29,1,type1,Tuesday
cash-in,4161,7038,2490.81,6/16/2019 10:10,1,type1,Sunday
cash-in,4161,32828,2490.81,5/23/2019 12:40,1,type1,Thursday
cash-in,4161,99617,2490.81,5/15/2019 8:27,1,type1,Wednesday
cash-in,4161,34858,2490.81,6/19/2019 9:13,1,type1,Wednesday
cash-in,4161,28744,2490.81,2/21/2019 12:14,1,type1,Thursday
cash-in,4161,43619,2490.81,5/3/2019 13:21,1,type1,Friday
cash-in,4161,96342,2490.82,3/6/2019 13:59,1,type1,Wednesday
cash-in,4161,27404,2490.82,5/31/2019 14:39,1,type1,Friday
cash-in,4161,1599,2490.82,6/15/2019 11:02,1,type1,Saturday
cash-in,4161,98501,2490.82,4/26/2019 14:40,1,type1,Friday
cash-in,4161,94376,2490.82,3/3/2019 8:06,1,type1,Sunday
cash-in,4161,44546,2490.82,6/18/2019 12:25,1,type1,Tuesday
cash-in,4161,6724,2490.82,6/22/2019 13:58,1,type1,Saturday
cash-in,4161,10834,2490.82,6/14/2019 13:33,1,type1,Friday
cash-in,4161,88949,2490.82,3/5/2019 15:22,1,type1,Tuesday
cash-in,4161,54547,2490.82,5/21/2019 13:15,1,type1,Tuesday
cash-in,4161,76270,2490.82,3/10/2019 8:46,1,type1,Sunday
cash-in,4161,64321,2490.82,4/26/2019 11:19,1,type1,Friday
cash-in,4161,73770,2490.82,6/16/2019 14:15,1,type1,Sunday
cash-in,4161,39477,2490.82,3/26/2019 10:08,1,type1,Tuesday
cash-in,4161,29501,2490.82,6/11/2019 9:09,1,type1,Tuesday
cash-in,4161,2174,2490.82,5/3/2019 13:25,1,type1,Friday
cash-in,4161,83480,2490.82,5/25/2019 12:15,1,type1,Saturday
cash-in,4161,49193,2490.82,2/23/2019 13:23,1,type1,Saturday
cash-in,33203,7242,8826.47,3/14/2019 10:24,1,type1,Thursday
cash-in,33203,784,8826.47,5/26/2019 11:10,1,type1,Sunday
cash-in,33203,65196,8826.47,7/6/2019 9:36,1,type1,Saturday
cash-in,33203,80364,8826.47,2/26/2019 15:14,1,type1,Tuesday
cash-in,33203,8056,8826.47,7/2/2019 12:53,1,type1,Tuesday
cash-in,33203,69621,8826.47,5/7/2019 13:58,1,type1,Tuesday
cash-in,33203,97479,8826.48,6/4/2019 15:08,1,type1,Tuesday
cash-in,33203,34537,8826.48,6/11/2019 14:44,1,type1,Tuesday
cash-in,33203,15088,8826.48,7/17/2019 11:31,1,type1,Wednesday
cash-in,41969,65969,18350.26,3/26/2019 12:37,1,type1,Tuesday
cash-in,41969,13881,18350.26,2/26/2019 14:29,1,type1,Tuesday
cash-in,41969,76026,18350.27,7/5/2019 9:53,1,type1,Friday
cash-in,41969,92875,18350.27,4/26/2019 14:31,1,type1,Friday
cash-in,41969,69841,18350.27,7/9/2019 14:27,1,type1,Tuesday
cash-in,37177,21392,3621.64,3/9/2019 12:03,1,type1,Saturday
cash-in,37177,90607,3621.64,5/19/2019 8:37,1,type1,Sunday
cash-in,37177,88400,3621.64,6/14/2019 10:31,1,type1,Friday
cash-in,37177,70964,3621.64,7/16/2019 13:13,1,type1,Tuesday
